confidence,precision,recall,f1,mAP50,mAP50_95
0.1,0.8166941502282797,0.6813559322033899,0.7429116163467473,0.8065050622057525,0.5519415615335148
0.25,0.8166941502282797,0.6813559322033899,0.7429116163467473,0.7977849115908159,0.563256211526522
0.5,0.8706697459584296,0.6389830508474577,0.737047898338221,0.7792203725182325,0.5692253048120643
0.75,0.972,0.411864406779661,0.5785714285714285,0.6964078461622767,0.5410716452743276
0.9,1.0,0.01694915254237288,0.03333333333333333,0.5084637931034482,0.4425308685025223
